rank,client_hash_id,content_hash_id,action,reason_code,model_score,feb_impressions,feb_clicks,feb_avg_position,march_clicks
48,client_62f4a7e64f5e0096,content_31437f55ce7fbe59,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,24791.0,61.0,4.280463990073084,53
49,client_62f4a7e64f5e0096,content_46527695ce9af3cd,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,37423.0,83.0,4.2014695143860825,76
50,client_62f4a7e64f5e0096,content_d473d81819154a8b,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,29942.0,110.0,4.292279082850693,224
51,client_62f4a7e64f5e0096,content_b64fb5a4b3f9b7aa,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,65715.0,125.0,4.242256872169697,102
52,client_62f4a7e64f5e0096,content_4f57c33a82272315,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,24951.0,72.0,4.210400844562217,77
53,client_b10cb2997d0c7c86,content_81374f56bf6d815d,high_priority_review,visible_with_clicks_and_good_position,266.80688042154435,3993.0,70.0,4.927666026086037,33
54,client_62f4a7e64f5e0096,content_f28fad229748fb7a,high_priority_review,visible_with_clicks_and_good_position,262.7521493226843,35977.0,61.0,1.5332090147757877,76
55,client_62f4a7e64f5e0096,content_d63476b67a16d606,high_priority_review,visible_with_clicks_and_good_position,262.7521493226843,57886.0,82.0,1.505250584462171,62
56,client_62f4a7e64f5e0096,content_cacf368529c5c527,high_priority_review,visible_with_clicks_and_good_position,262.7521493226843,63398.0,148.0,1.4648344344975632,123
57,client_62f4a7e64f5e0096,content_969d2a011bb3b00d,high_priority_review,visible_with_clicks_and_good_position,262.7521493226843,20584.0,115.0,1.6024420692005403,83
58,client_62f4a7e64f5e0096,content_5c11716f0bc53e06,high_priority_review,visible_with_clicks_and_good_position,257.0226095419616,28929.0,66.0,1.4035717690370497,102
59,client_62f4a7e64f5e0096,content_c47a6844643204fb,high_priority_review,visible_with_clicks_and_good_position,257.0226095419616,20538.0,205.0,1.3972403756138416,147
60,client_62f4a7e64f5e0096,content_b13e95d379c78818,high_priority_review,visible_with_clicks_and_good_position,254.8408774119729,53344.0,182.0,0.8724217043159461,151
61,client_62f4a7e64f5e0096,content_1eb85de9c101e25b,high_priority_review,visible_with_clicks_and_good_position,253.29114505779876,24039.0,74.0,0.3147070915588252,82
62,client_23a62021009f63c4,content_f29162399032c48d,high_priority_review,visible_with_clicks_and_good_position,225.52979313344468,3814.0,64.0,4.9447779217043575,91
63,client_62f4a7e64f5e0096,content_c3df208cb859c1f3,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,21309.0,160.0,3.7768905592123003,111
64,client_62f4a7e64f5e0096,content_e5dd70893789107b,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,51634.0,296.0,3.8745744885313522,257
65,client_62f4a7e64f5e0096,content_1a73b777ba0fccca,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,23868.0,106.0,3.906767717552023,106
66,client_62f4a7e64f5e0096,content_16e10baff4a5f743,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,31481.0,81.0,3.7768309838501746,72
67,client_23a62021009f63c4,content_ddd9373c30db5df6,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,32160.0,285.0,3.8508471400425712,266
68,client_23a62021009f63c4,content_249e9d28a0bb94b0,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,21839.0,194.0,3.914425285872223,174
69,client_62f4a7e64f5e0096,content_5153c65f382485a9,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,49584.0,187.0,3.9070008858292327,191
70,client_62f4a7e64f5e0096,content_acbcc847f8996314,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,148256.0,239.0,3.9078964085855303,262
71,client_62f4a7e64f5e0096,content_ba0d2a28965016f9,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,39582.0,70.0,3.830779804149833,69
72,client_62f4a7e64f5e0096,content_38bc3b16b0fe4e5e,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,39503.0,83.0,3.8469754677794747,80
73,client_62f4a7e64f5e0096,content_d6f555d072e070be,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,27271.0,72.0,3.816494990559611,73
74,client_62f4a7e64f5e0096,content_f61e4a7ec58d9c77,high_priority_review,visible_with_clicks_and_good_position,213.88481873646546,18822.0,65.0,3.7955691376856913,84
75,client_62f4a7e64f5e0096,content_ee5b27bf1bf4a9e6,high_priority_review,visible_with_clicks_and_good_position,213.75894760335672,19765.0,75.0,3.003612258881437,71
76,client_62f4a7e64f5e0096,content_1aa58daeb178c683,high_priority_review,visible_with_clicks_and_good_position,213.75894760335672,18258.0,87.0,3.033885319283852,104
77,client_62f4a7e64f5e0096,content_6b4d5458bf2143b1,high_priority_review,visible_with_clicks_and_good_position,213.75894760335672,36942.0,139.0,3.046986752630629,164
78,client_62f4a7e64f5e0096,content_6478f978b79a1b49,high_priority_review,visible_with_clicks_and_good_position,213.75894760335672,23451.0,147.0,3.0376298404027047,316
79,client_62f4a7e64f5e0096,content_897096a4c55acd6e,high_priority_review,visible_with_clicks_and_good_position,213.75894760335672,16409.0,114.0,3.0294129475468017,140
80,client_62f4a7e64f5e0096,content_b00f107edc801738,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,24221.0,88.0,4.192947949640507,124
81,client_62f4a7e64f5e0096,content_b6022c54a43fb2e6,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,17773.0,74.0,4.1654414524824865,59
82,client_62f4a7e64f5e0096,content_c678834a6f40dc34,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,22096.0,85.0,4.063964287482818,91
83,client_62f4a7e64f5e0096,content_4095b08792b57179,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,22381.0,65.0,4.1458438352376135,73
84,client_62f4a7e64f5e0096,content_cee7c1d26dbf00ba,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,19382.0,79.0,4.14260721052531,89
85,client_62f4a7e64f5e0096,content_23d51d1e64ef4838,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,34846.0,66.0,4.079180042086198,47
86,client_62f4a7e64f5e0096,content_dcbcd17dfc6e4e76,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,36616.0,70.0,4.0620943183256335,69
87,client_62f4a7e64f5e0096,content_88b57991cd3e3f0f,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,26478.0,80.0,4.071311433635647,117
88,client_62f4a7e64f5e0096,content_79f06150fb5bb46c,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,25036.0,109.0,4.191240689550876,127
89,client_62f4a7e64f5e0096,content_3112381826381def,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,21632.0,67.0,4.143835620620421,48
90,client_23a62021009f63c4,content_2f2c171c95afafb2,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,19195.0,68.0,4.137418829024736,101
91,client_62f4a7e64f5e0096,content_689f7a02d7252b1e,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,25736.0,103.0,4.105882772711973,105
92,client_62f4a7e64f5e0096,content_ee10f14ef2fd9ce3,high_priority_review,visible_with_clicks_and_good_position,213.7583991260944,40649.0,71.0,4.1598995000609795,73
93,client_23a62021009f63c4,content_4f2c6db6111f34d3,high_priority_review,visible_with_clicks_and_good_position,211.62147263751137,4606.0,76.0,15.318260043467662,79
94,client_23a62021009f63c4,content_6019186e765c5d6e,high_priority_review,visible_with_clicks_and_good_position,210.53350548292045,4473.0,61.0,12.88204917711988,54
95,client_23a62021009f63c4,content_6c6e9508361b755f,high_priority_review,visible_with_clicks_and_good_position,209.29261596044745,4344.0,87.0,5.405108206267969,92
96,client_23a62021009f63c4,content_138abe69ee5bfd14,high_priority_review,visible_with_clicks_and_good_position,208.5096680223483,4230.0,71.0,11.131853575356098,137
97,client_23a62021009f63c4,content_1175332558bdb3a5,high_priority_review,visible_with_clicks_and_good_position,208.2259506088664,2905.0,81.0,5.8298577928584745,70
98,client_62f4a7e64f5e0096,content_0769febeb565cd4b,high_priority_review,visible_with_clicks_and_good_position,207.70366131852683,23771.0,83.0,4.44956690376755,66
99,client_62f4a7e64f5e0096,content_7d8b8b008e281b1d,high_priority_review,visible_with_clicks_and_good_position,207.70366131852683,36417.0,98.0,4.356785590034383,87
100,client_62f4a7e64f5e0096,content_e58fc4b2ba66e756,high_priority_review,visible_with_clicks_and_good_position,207.70366131852683,20748.0,133.0,4.338326253998089,93
